회사명,주식,혼합주식,혼합채권,채권,투자계약,재간접,단기금융,파생형,부동산,실물,특별자산,혼합자산,기업성장,기관전용 사모펀드,투자일임기타,합계,위탁운용,전일대비,전년대비
씨비알이인베스트먼트매니지먼트자산운용,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,1
씨스퀘어자산운용,142,0,12,0,0,0,0,0,1,0,0,25,0,0,0,180,0,1,-94
씨앗자산운용,66,0,0,0,0,0,0,0,0,0,0,28,0,0,0,94,0,0,-19
씨앤디자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
씨에이씨파트너스자산운용,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1
씨엘자산운용,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,1
씨케이골디락스자산운용,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0
아너스자산운용,1,0,1,0,0,0,0,0,2,0,0,31,0,0,0,35,0,0,2
아든자산운용,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
아라자산운용,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0
아람자산운용,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,-2
아르고스자산운용,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
아름자산운용,3,1,1,0,0,0,0,0,1,0,0,9,0,0,3,18,0,-2,-2
아미쿠스자산운용,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,-2
아샘자산운용,8,5,83,35,0,2,0,0,0,0,0,11,0,0,0,144,0,0,14
아스트라자산운용,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,8,0,0,-1
아우름자산운용,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,-1
아울자산운용,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0
아이리스자산운용,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,-1
